Phone_Prefix,Platform,Subscription_Plan,Match_Date,Login_Status,Buffer_Count,Watch_Minutes,App_Rating,Target_Uninstall
013,Toffee,Weekly_Pass,2026-06-29,Success,5.0,101.0,,0
015,Bioscope,Weekly_Pass,2026-06-16,Stuck_at_Number_Screen,1.0,7.0,1.0,1
016,Bioscope,WC_Premium,2026-07-01,Buffer_Timeout,2.0,11.0,2.0,0
018,Toffee,Daily_Pass,2026-07-04,Stuck_at_Number_Screen,1.0,0.0,1.0,1
017,Toffee,Weekly_Pass,2026-07-01,Success,12.0,97.0,4.0,1
017,Toffee,WC_Premium,2026-07-05,OTP_Failed,0.0,4.0,1.0,1
017,Toffee,WC_Premium,2026-06-27,Success,5.0,104.0,,0
019,Bioscope,Weekly_Pass,2026-07-08,Stuck_at_Number_Screen,1.0,0.0,2.0,1
018,Bioscope,Weekly_Pass,2026-07-08,Success,5.0,87.0,5.0,0
016,Toffee,Daily_Pass,2026-06-16,OTP_Failed,1.0,5.0,,1
017,Toffee,Weekly_Pass,2026-07-03,OTP_Failed,0.0,5.0,1.0,1
015,Toffee,WC_Premium,2026-06-12,OTP_Failed,1.0,1.0,1.0,1
019,Other_Partner,WC_Premium,2026-06-16,Buffer_Timeout,2.0,7.0,1.0,1
017,Toffee,WC_Premium,2026-06-27,Success,3.0,90.0,,0
017,Bioscope,Daily_Pass,2026-07-10,Success,1.0,63.0,4.0,0
017,Bioscope,WC_Premium,2026-06-29,Success,1.0,56.0,4.0,0
017,Bioscope,Daily_Pass,2026-07-10,Success,9.0,91.0,5.0,0
018,Bioscope,Daily_Pass,2026-06-28,Success,7.0,66.0,,0
013,Toffee,Weekly_Pass,2026-07-03,Success,2.0,90.0,5.0,0
017,Bioscope,Daily_Pass,2026-06-21,Stuck_at_Number_Screen,6.0,7.0,1.0,1
018,Toffee,WC_Premium,2026-07-05,Buffer_Timeout,0.0,0.0,2.0,1
017,Bioscope,Weekly_Pass,2026-06-13,Success,2.0,81.0,5.0,0
017,Toffee,Weekly_Pass,2026-06-29,Success,4.0,77.0,,0
013,Bioscope,Weekly_Pass,2026-06-19,Success,2.0,79.0,4.0,0
018,Toffee,WC_Premium,2026-07-05,Success,14.0,69.0,5.0,0
019,Bioscope,Weekly_Pass,2026-06-23,Stuck_at_Number_Screen,4.0,9.0,2.0,1
017,Toffee,Daily_Pass,2026-06-18,Success,16.0,110.0,4.0,0
018,Bioscope,WC_Premium,2026-06-13,OTP_Failed,2.0,1.0,1.0,1
018,Toffee,Daily_Pass,2026-07-06,Success,12.0,72.0,3.0,0
017,Toffee,Daily_Pass,2026-06-16,Buffer_Timeout,1.0,0.0,1.0,0
018,Bioscope,Weekly_Pass,2026-06-30,Buffer_Timeout,1.0,0.0,1.0,1
017,Other_Partner,Daily_Pass,2026-07-02,Buffer_Timeout,0.0,3.0,1.0,0
017,Toffee,WC_Premium,2026-07-04,Success,2.0,69.0,,0
014,Other_Partner,Weekly_Pass,2026-07-01,Success,1.0,60.0,,0
015,Bioscope,WC_Premium,2026-06-26,Success,3.0,112.0,4.0,0
019,Bioscope,Daily_Pass,2026-06-24,OTP_Failed,1.0,5.0,1.0,1
017,Toffee,WC_Premium,2026-06-14,Success,6.0,104.0,,0
017,Toffee,Daily_Pass,2026-06-20,OTP_Failed,0.0,3.0,,0
016,Bioscope,Daily_Pass,2026-06-12,OTP_Failed,0.0,1.0,1.0,1
013,Toffee,Daily_Pass,2026-06-11,OTP_Failed,1.0,7.0,,0
017,Bioscope,Weekly_Pass,2026-07-07,Stuck_at_Number_Screen,1.0,7.0,,1
018,Toffee,Daily_Pass,2026-06-27,Success,10.0,67.0,4.0,0
017,Toffee,Weekly_Pass,2026-06-21,Success,6.0,37.0,5.0,1
014,Bioscope,Daily_Pass,2026-07-09,OTP_Failed,1.0,7.0,1.0,1
017,Bioscope,Daily_Pass,2026-06-19,Buffer_Timeout,7.0,5.0,2.0,1
016,Bioscope,Weekly_Pass,2026-07-05,OTP_Failed,1.0,4.0,1.0,1
017,Toffee,Daily_Pass,2026-06-20,OTP_Failed,4.0,2.0,1.0,1
018,Toffee,WC_Premium,2026-06-21,Buffer_Timeout,5.0,5.0,1.0,0
018,Toffee,Weekly_Pass,2026-06-25,Success,14.0,91.0,4.0,0
017,Toffee,WC_Premium,2026-06-12,Buffer_Timeout,3.0,0.0,2.0,0
015,Bioscope,Daily_Pass,2026-06-27,Success,5.0,97.0,5.0,0
019,Bioscope,WC_Premium,2026-06-21,Success,12.0,96.0,4.0,0
014,Toffee,Weekly_Pass,2026-06-21,Success,0.0,88.0,4.0,0
019,Bioscope,WC_Premium,2026-06-16,Success,20.0,75.0,5.0,0
018,Toffee,Daily_Pass,2026-06-15,Success,3.0,50.0,5.0,1
014,Bioscope,WC_Premium,2026-06-28,Success,5.0,97.0,3.0,0
017,Toffee,WC_Premium,2026-06-24,Success,7.0,87.0,4.0,0
017,Bioscope,Daily_Pass,2026-06-15,Success,0.0,86.0,4.0,0
017,Toffee,Weekly_Pass,2026-06-26,Success,14.0,57.0,4.0,0
017,Toffee,WC_Premium,2026-06-24,Stuck_at_Number_Screen,2.0,10.0,1.0,1
013,Toffee,Weekly_Pass,2026-06-28,Success,2.0,77.0,5.0,0
017,Toffee,Daily_Pass,2026-06-12,Success,46.0,97.0,1.0,0
019,Toffee,Weekly_Pass,2026-06-17,Success,17.0,51.0,4.0,0
013,Toffee,Daily_Pass,2026-07-07,Success,0.0,72.0,4.0,0
017,Toffee,WC_Premium,2026-06-18,Stuck_at_Number_Screen,1.0,0.0,,1
018,Bioscope,Daily_Pass,2026-06-21,Stuck_at_Number_Screen,0.0,6.0,,0
017,Toffee,Daily_Pass,2026-07-08,Stuck_at_Number_Screen,3.0,5.0,1.0,1
019,Bioscope,Daily_Pass,2026-07-05,Success,24.0,80.0,1.0,0
017,Toffee,Weekly_Pass,2026-07-01,Success,12.0,62.0,4.0,0
015,Other_Partner,WC_Premium,2026-07-08,Success,6.0,121.0,4.0,1
019,Other_Partner,Daily_Pass,2026-07-01,Success,13.0,68.0,4.0,0
017,Toffee,Daily_Pass,2026-07-09,Stuck_at_Number_Screen,1.0,3.0,1.0,0
017,Bioscope,Daily_Pass,2026-07-04,Buffer_Timeout,1.0,13.0,1.0,0
019,Toffee,WC_Premium,2026-06-27,Success,1.0,80.0,3.0,0
016,Other_Partner,Weekly_Pass,2026-07-09,Success,15.0,112.0,4.0,0
016,Bioscope,Daily_Pass,2026-06-15,Success,7.0,91.0,5.0,1
019,Toffee,Weekly_Pass,2026-07-10,OTP_Failed,3.0,10.0,1.0,1
017,Toffee,Daily_Pass,2026-06-21,Success,8.0,110.0,5.0,0
013,Toffee,Weekly_Pass,2026-07-07,Success,5.0,66.0,5.0,0
017,Toffee,Daily_Pass,2026-07-07,Buffer_Timeout,4.0,15.0,2.0,0
019,Bioscope,WC_Premium,2026-07-05,Stuck_at_Number_Screen,4.0,11.0,,1
018,Toffee,WC_Premium,2026-07-07,Success,12.0,83.0,4.0,0
017,Toffee,WC_Premium,2026-06-22,Success,17.0,107.0,5.0,0
017,Toffee,Weekly_Pass,2026-06-14,OTP_Failed,0.0,3.0,1.0,1
017,Toffee,Weekly_Pass,2026-06-30,OTP_Failed,1.0,9.0,,1
017,Toffee,Daily_Pass,2026-07-05,OTP_Failed,7.0,3.0,,0
016,Bioscope,WC_Premium,2026-07-03,Success,4.0,105.0,,0
018,Toffee,Weekly_Pass,2026-06-12,Stuck_at_Number_Screen,1.0,5.0,1.0,1
019,Bioscope,WC_Premium,2026-06-28,Stuck_at_Number_Screen,1.0,9.0,,0
018,Toffee,Daily_Pass,2026-07-04,Stuck_at_Number_Screen,2.0,3.0,1.0,1
017,Toffee,WC_Premium,2026-06-14,Success,1.0,104.0,,0
016,Bioscope,Weekly_Pass,2026-07-06,Success,4.0,89.0,4.0,0
019,Toffee,Daily_Pass,2026-07-01,Success,4.0,94.0,,0
018,Toffee,Weekly_Pass,2026-06-27,Buffer_Timeout,0.0,0.0,1.0,0
019,Bioscope,WC_Premium,2026-06-30,Success,5.0,83.0,5.0,0
018,Toffee,WC_Premium,2026-07-02,Success,4.0,111.0,,0
018,Toffee,WC_Premium,2026-07-08,Success,14.0,83.0,,0
013,Bioscope,Daily_Pass,2026-07-03,Stuck_at_Number_Screen,1.0,5.0,1.0,1
017,Bioscope,WC_Premium,2026-06-22,Buffer_Timeout,1.0,4.0,2.0,0
017,Toffee,Weekly_Pass,2026-06-23,Stuck_at_Number_Screen,5.0,6.0,2.0,1
017,Toffee,Daily_Pass,2026-07-10,OTP_Failed,0.0,0.0,2.0,0
018,Toffee,Daily_Pass,2026-07-07,Buffer_Timeout,4.0,3.0,1.0,0
017,Toffee,Daily_Pass,2026-06-22,Success,5.0,88.0,4.0,0
018,Bioscope,Daily_Pass,2026-06-16,Buffer_Timeout,0.0,0.0,1.0,1
014,Bioscope,WC_Premium,2026-06-12,Success,11.0,130.0,,0
017,Bioscope,Daily_Pass,2026-07-07,Success,6.0,97.0,,0
013,Toffee,Daily_Pass,2026-06-26,Success,2.0,102.0,5.0,0
019,Toffee,Daily_Pass,2026-06-23,Success,4.0,105.0,,0
017,Bioscope,Weekly_Pass,2026-07-03,Success,7.0,95.0,3.0,0
017,Toffee,Daily_Pass,2026-07-08,Success,11.0,126.0,4.0,0
017,Bioscope,Daily_Pass,2026-07-07,Success,7.0,76.0,4.0,0
017,Bioscope,Daily_Pass,2026-06-14,Success,1.0,59.0,3.0,0
014,Other_Partner,Weekly_Pass,2026-07-08,Success,9.0,81.0,5.0,0
019,Toffee,Daily_Pass,2026-06-26,Stuck_at_Number_Screen,11.0,10.0,2.0,1
018,Toffee,Weekly_Pass,2026-07-03,Buffer_Timeout,0.0,0.0,2.0,0
019,Bioscope,Daily_Pass,2026-06-25,Buffer_Timeout,0.0,4.0,,0
019,Bioscope,Daily_Pass,2026-06-23,OTP_Failed,0.0,1.0,,1
